Fiscal Year,HRSA Program Area,HHS Region,State/Territory,County and State,Cong. District,Program,Grant Num.,Grantee,DUNS Num.,Address,City,State,ZIP Code,County,Funding,As of Date (Close of Business Date),HRSA Data Warehouse Processing Date
2019,Rural Health,Region 5,Illinois,"Sangamon County, IL",Illinois District 13,Small Rural Hospital Improvement  Program (H3H),H3HRH00033,"Public Health, Illinois Department Of",806660296,535 W Jefferson St Lbby,Springfield,IL,62702-5058,Sangamon County,688228,10/22/2019,10/23/2019
2019,Rural Health,Region 8,North Dakota,"Grand Forks County, ND",North Dakota At Large,Small Rural Hospital Improvement  Program (H3H),H3HRH00035,University Of North Dakota,102280781,264 Centennial Dr,Grand Forks,ND,58202-6059,Grand Forks County,426183,10/22/2019,10/23/2019
2019,Rural Health,Region 4,Tennessee,"Davidson County, TN",Tennessee District 05,Small Rural Hospital Improvement  Program (H3H),H3HRH00036,"Health, Tennessee Dept Of",172636268,710 James Robertson Pkwy 64 Andrew Johnson Tower,Nashville,TN,37243-0001,Davidson County,308516,10/22/2019,10/23/2019
2019,Rural Health,Region 1,Vermont,"Washington County, VT",Vermont At Large,Small Rural Hospital Improvement  Program (H3H),H3HRH00037,"Human Services, Vermont Agency Of",809376155,280 State Dr,Waterbury,VT,05671-9501,Washington County,97794,10/22/2019,10/23/2019
2019,Maternal and Child Health,Region 4,North Carolina,"Wake County, NC",North Carolina District 04,EMSC Partnership Grants (H33),H33MC06732,"Health & Human Services, North Carolina Department Of",809785363,2025 Mail Service Ctr,Raleigh,NC,27699-2000,Wake County,129420,10/22/2019,10/23/2019
2019,HIV/AIDS,Region 4,Mississippi,"Forrest County, MS",Mississippi District 04,"Ryan White Title IV Women, Infants, Children, Youth and  Affected Family Members AIDS Healthcare  (H12)",H12HA31115,"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",4323692,5488 U S Highway 49,Hattiesburg,MS,39401-7806,Forrest County,311538,10/22/2019,10/23/2019
2019,Primary Health Care,Region 6,Arkansas,"Polk County, AR",Arkansas District 04,Health Center Program (H80),H80CS00279,HEALTHY CONNECTIONS INC,165214029,136 Health Park Dr,Mena,AR,71953-9072,Polk County,4425195,10/22/2019,10/23/2019
2019,Primary Health Care,Region 5,Wisconsin,"Dane County, WI",Wisconsin District 02,Health Center Program (H80),H80CS00280,"Access Community Health Centers, Inc.",114106008,2901 W Beltline Hwy Ste 120,Madison,WI,53713-4231,Dane County,3650531,10/22/2019,10/23/2019
2019,Primary Health Care,Region 10,Washington,"Pierce County, WA",Washington District 06,Health Center Program (H80),H80CS00481,Community Health Care,173996083,1148 Broadway Ste 100,Tacoma,WA,98402-3518,Pierce County,4028431,10/22/2019,10/23/2019
2019,Primary Health Care,Region 4,Mississippi,"Claiborne County, MS",Mississippi District 02,Health Center Program (H80),H80CS00482,Claiborne County Family Health Center,361886922,2045 Highway 61 N,Port Gibson,MS,39150-4262,Claiborne County,1476299,10/22/2019,10/23/2019
2019,Primary Health Care,Region 4,North Carolina,"Person County, NC",North Carolina District 06,Health Center Program (H80),H80CS00483,PERSON FAMILY MEDICAL CENTER,45704111,702 N Main St,Roxboro,NC,27573-4755,Person County,1573999,10/22/2019,10/23/2019
2019,Primary Health Care,Region 4,Georgia,"Fulton County, GA",Georgia District 05,Health Center Program (H80),H80CS00485,"Family Health Centers Of Georgia, Inc., The",10105807,868 York Ave SW,Atlanta,GA,30310-2750,Fulton County,4746667,10/22/2019,10/23/2019
2019,Primary Health Care,Region 4,North Carolina,"Robeson County, NC",North Carolina District 09,Health Center Program (H80),H80CS00107,Robeson Health Care Corporation,84169218,60 Commerce Plaza Cir,Pembroke,NC,28372-7386,Robeson County,4012502,10/22/2019,10/23/2019
2019,Primary Health Care,Region 5,Michigan,"Lake County, MI",Michigan District 02,Health Center Program (H80),H80CS00108,BALDWIN FAMILY HEALTH CARE,72571250,1615 Michigan Ave,Baldwin,MI,49304-7984,Lake County,4953619,10/22/2019,10/23/2019
2019,Primary Health Care,Region 5,Illinois,"Cook County, IL",Illinois District 02,Health Center Program (H80),H80CS00109,"TCA HEALTH, INC. NFP",68626100,1029 E 130th St,Chicago,IL,60628-6908,Cook County,3070004,10/22/2019,10/23/2019
2019,Primary Health Care,Region 6,Texas,"Atascosa County, TX",Texas District 28,Health Center Program (H80),H80CS00405,"Atascosa Health Center, Inc.",132954496,310 W Oaklawn Rd,Pleasanton,TX,78064-4033,Atascosa County,4957042,10/22/2019,10/23/2019
2019,Primary Health Care,Region 2,New Jersey,"Camden County, NJ",New Jersey District 01,Health Center Program (H80),H80CS00172,CAMCARE HEALTH CORPORATION,11519741,817 Federal St,Camden,NJ,08103-1539,Camden County,4449520,10/22/2019,10/23/2019
2019,Primary Health Care,Region 6,Texas,"El Paso County, TX",Texas District 16,Health Center Program (H80),H80CS00128,"CENTRO DE SALUD FAMILIAR LA FE, INC",75113357,1314 E Yandell Dr,El Paso,TX,79902-5529,El Paso County,6106152,10/22/2019,10/23/2019
2019,Primary Health Care,Region 6,Louisiana,"Orleans Parish, LA",Louisiana District 02,Health Center Program (H80),H80CS00129,"EXCELTH, INCORPORATED",796186435,1515 Poydras St Ste 1070,New Orleans,LA,70112-4520,Orleans Parish,5535656,10/22/2019,10/23/2019
2019,Primary Health Care,Region 7,Kansas,"Shawnee County, KS",Kansas District 02,Health Center Program (H80),H80CS00131,"HEALTH AND ENVIRONMENT, KANSAS DEPARTMENT OF",175941483,1000 SW Jackson St,Topeka,KS,66612-1300,Shawnee County,2078974,10/22/2019,10/23/2019
2019,Primary Health Care,Region 7,Missouri,"Pulaski County, MO",Missouri District 04,Health Center Program (H80),H80CS00132,RICHLAND MEDICAL CENTER INC,109707703,304 W Washington Ave,Richland,MO,65556-7101,Pulaski County,3516649,10/22/2019,10/23/2019
2019,Primary Health Care,Region 8,Colorado,"Alamosa County, CO",Colorado District 03,Health Center Program (H80),H80CS00134,"VALLEY WIDE HEALTH SYSTEMS, INC.",120615919,128 Market St,Alamosa,CO,81101-2290,Alamosa County,8026816,10/22/2019,10/23/2019
2019,Primary Health Care,Region 5,Michigan,"Montmorency County, MI",Michigan District 01,Health Center Program (H80),H80CS00402,"THUNDER BAY COMMUNITY HEALTH SERVICE, INCORPORATED",627270226,15774 State St,Hillman,MI,49746-7961,Montmorency County,3280380,10/22/2019,10/23/2019
2019,Primary Health Care,Region 4,Florida,"Orange County, FL",Florida District 10,Health Center Program (H80),H80CS00240,"Health Care Center For The Homeless, Inc.",966333577,232 N Orange Blossom Trl,Orlando,FL,32805-1612,Orange County,4711715,10/22/2019,10/23/2019
2019,Primary Health Care,Region 5,Minnesota,"Hennepin County, MN",Minnesota District 05,Health Center Program (H80),H80CS00241,REGENTS OF THE UNIVERSITY OF MINNESOTA,555917996,200 Oak St SE # 224,Minneapolis,MN,55455-2009,Hennepin County,2877541,10/22/2019,10/23/2019
2019,Primary Health Care,Region 9,California,"Los Angeles County, CA",California District 47,Health Center Program (H80),H80CS00264,Children's Clinic 'serving Children And Their Families' The,70648001,701 E 28th St Ste 200,Long Beach,CA,90806-2784,Los Angeles County,5383949,10/22/2019,10/23/2019
2019,Primary Health Care,Region 9,California,"Los Angeles County, CA",California District 40,Health Center Program (H80),H80CS00265,SOUTH CENTRAL FAMILY HEALTH CENTER,42514534,4425 S Central Ave,Los Angeles,CA,90011-3629,Los Angeles County,5265496,10/22/2019,10/23/2019
2019,Primary Health Care,Region 5,Indiana,"Marion County, IN",Indiana District 07,Health Center Program (H80),H80CS00266,RAPHAEL HEALTH CLINIC,966515272,401 E 34th St Ste 1,Indianapolis,IN,46205-3790,Marion County,2127636,10/22/2019,10/23/2019
2019,Primary Health Care,Region 5,Michigan,"Roscommon County, MI",Michigan District 04,Health Center Program (H80),H80CS00190,"MIDMICHIGAN HEALTH SERVICES, INC",109298471,9249 W Lake City Rd,Houghton Lake,MI,48629-9602,Roscommon County,3006942,10/22/2019,10/23/2019
2020,Primary Health Care,Region 9,California,"Sonoma County, CA",California District 02,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39768,"Alliance Medical Center, Inc.",132650024,1381 University St,Healdsburg,CA,95448-3314,Sonoma County,100000,3/8/2021,3/9/2021
2019,Maternal and Child Health,Region 4,North Carolina,"Robeson County, NC",North Carolina District 09,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49MC00068,UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,67189332,1 University Rd,Pembroke,NC,28372-8699,Robeson County,1054549,10/22/2019,10/23/2019
2019,Other Programs,Region 8,Utah,"Cache County, UT",Utah District 01,Universal Newborn Hearing Screening - Cooperative Agreement (U52),U52MC04391,Utah State University,72983455,1000 Old Main Hl,Logan,UT,84322-1000,Cache County,462963,10/22/2019,10/23/2019
2019,Rural Health,Region 5,Illinois,"Mercer County, IL",Illinois District 17,Rural Health Care Services Outreach Grant Program (D04),D04RH31786,"MERCER, COUNTY OF",832913730,305 NW 7th St,Aledo,IL,61231-1072,Mercer County,184358,10/22/2019,10/23/2019
2019,Rural Health,Region 6,New Mexico,"Colfax County, NM",New Mexico District 03,Rural Health Care Services Outreach Grant Program (D04),D04RH31788,MINERS' COLFAX MEDICAL CENTER,364134254,203 Hospital Dr,Raton,NM,87740-2012,Colfax County,199965,10/22/2019,10/23/2019
2019,Rural Health,Region 7,Missouri,"Lafayette County, MO",Missouri District 05,Rural Communities Opioid Response-Implementation (GA1),GA1RH33509,Health Care Coalition of Lafayette County,621491724,825 S Business Highway 13,Lexington,MO,64067-1515,Lafayette County,1000000,10/22/2019,10/23/2019
2019,Health Workforce,Region 2,New Jersey,"Camden County, NJ",New Jersey District 01,Health Careers Opportunity Program (D18),D18HP32127,RU School of Osteopathic Medicine,78789801,42 E Laurel Rd,Stratford,NJ,08084-1354,Camden County,640000,10/22/2019,10/23/2019
2019,Health Workforce,Region 9,Arizona,"Pima County, AZ",Arizona District 03,Health Careers Opportunity Program (D18),D18HP32129,University Of Arizona,806345617,888 N Euclid Ave Rm 510,Tucson,AZ,85719-4824,Pima County,645058,10/22/2019,10/23/2019
2016,Rural Health,Region 3,Virginia,"Alexandria City, VA",Virginia District 08,Rural Health Clinic Technical Assistance Cooperative Agreement (UG6),UG6RH28684,"Capitol Associates, Inc.",154927065,1009 Duke St Fl 1,Alexandria,VA,22314-3511,Alexandria City,100000,6/30/2017,7/1/2017
2019,Maternal and Child Health,Region 2,New York,"New York County, NY",New York District 10,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49MC04479,"Fund For Public Health In New York, Inc.",167227789,22 Cortlandt St Rm 802,New York,NY,10007-3160,New York County,1092899,10/22/2019,10/23/2019
2019,Rural Health,Region 7,Missouri,"Pettis County, MO",Missouri District 04,Rural Health Care Services Outreach Grant Program (D04),D04RH31794,"REGIONAL HEALTH CARE CLINIC, INC.",138605691,821 Westwood Dr,Sedalia,MO,65301-2102,Pettis County,181918,10/22/2019,10/23/2019
2019,Rural Health,Region 3,West Virginia,"Logan County, WV",West Virginia District 03,Rural Health Care Services Outreach Grant Program (D04),D04RH31796,RURAL HEALTH ACCESS CORPORATION,969208011,386 Airport Rd,Chapmanville,WV,25508-9202,Logan County,200000,10/22/2019,10/23/2019
2019,Health Workforce,Region 1,Maine,"York County, ME",Maine District 01,Nurse Anesthetist Traineeships (A22),A22HP30944,UNIVERSITY OF NEW ENGLAND,71735252,11 Hills Beach Rd,Biddeford,ME,04005-9526,York County,16649,10/22/2019,10/23/2019
2019,Health Workforce,Region 5,Minnesota,"Hennepin County, MN",Minnesota District 05,Nurse Anesthetist Traineeships (A22),A22HP30946,REGENTS OF THE UNIVERSITY OF MINNESOTA,555917996,200 Oak St SE # 224,Minneapolis,MN,55455-2009,Hennepin County,15226,10/22/2019,10/23/2019
2019,Health Workforce,Region 1,Connecticut,"Fairfield County, CT",Connecticut District 04,Nurse Anesthetist Traineeships (A22),A22HP30999,FAIRFIELD UNIVERSITY,72120702,1073 N Benson Rd,Fairfield,CT,06824-5171,Fairfield County,19609,10/22/2019,10/23/2019
2019,Health Workforce,Region 4,Georgia,"Richmond County, GA",Georgia District 12,Nurse Anesthetist Traineeships (A22),A22HP31000,AUGUSTA UNIVERSITY,809593387,1120 15th St,Augusta,GA,30912-0004,Richmond County,25799,10/22/2019,10/23/2019
2019,Health Workforce,Region 9,California,"Orange County, CA",California District 39,Health Careers Opportunity Program (D18),D18HP32119,CSU Fullerton Auxiliary Services Corporation,106670755,1121 N State College Blvd,Fullerton,CA,92831-3014,Orange County,638345,10/22/2019,10/23/2019
2019,Health Workforce,Region 4,Georgia,"DeKalb County, GA",Georgia District 05,Health Careers Opportunity Program (D18),D18HP32120,Emory University,66469933,1599 Clifton Rd NE,Atlanta,GA,30322-4250,DeKalb County,642262,10/22/2019,10/23/2019
2019,Rural Health,Region 10,Washington,"Kittitas County, WA",Washington District 08,Rural Communities Opioid Response-Implementation (GA1),GA1RH33517,KITTITAS COUNTY HEALTH NETWORK,116973065,400 E Mountain View Ave,Ellensburg,WA,98926-3767,Kittitas County,1000000,10/22/2019,10/23/2019
2016,Maternal and Child Health,Region 4,North Carolina,"Wake County, NC",North Carolina District 04,Universal Newborn Hearing Screening and Intervention (H61),H61MC00043,"Health & Human Services, North Carolina Department Of",809785363,2025 Mail Service Ctr,Raleigh,NC,27699-2000,Wake County,290374,6/30/2017,7/1/2017
2020,Primary Health Care,Region 4,Mississippi,"Bolivar County, MS",Mississippi District 02,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39930,"DELTA HEALTH CENTER, INC.",67718825,702 Martin Luther King St,Mound Bayou,MS,38762-9314,Bolivar County,1000000,3/8/2021,3/9/2021
2020,Primary Health Care,Region 4,North Carolina,"Gaston County, NC",North Carolina District 10,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39932,GASTON FAMILY HEALTH SERVICES INC,135794282,991 W Hudson Blvd,Gastonia,NC,28052-6430,Gaston County,625174,3/8/2021,3/9/2021
2020,Health Workforce,Region 9,California,"San Diego County, CA",California District 49,Nurse Anesthetist Traineeships (A22),A22HP39207,National University,73347809,11355 N Torrey Pines Rd,La Jolla,CA,92037-1013,San Diego County,19740,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 4,Alabama,"Montgomery County, AL",Alabama District 02,Maternal and Child Health Services (B04),B04MC33819,"PUBLIC HEALTH, ALABAMA DEPARTMENT OF",613842061,201 Monroe St Ste 1050,Montgomery,AL,36104-6959,Montgomery County,11482727,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 9,Federated States of Micronesia,"Pohnpei State, FM",(No Congressional Representation),Maternal and Child Health Services (B04),B04MC33829,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,854812984,Mogithin Building Palikir Station,Palikir,FM,96941,Pohnpei State,519806,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 4,Florida,"Leon County, FL",Florida District 02,Maternal and Child Health Services (B04),B04MC33830,"Health, Florida Department of",364215061,4052 Bald Cypress Way B-20 B02 Rm 3330 G-A,Tallahassee,FL,32399-0001,Leon County,19731221,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 4,Georgia,"Fulton County, GA",Georgia District 05,Maternal and Child Health Services (B04),B04MC33831,"PUBLIC HEALTH, GEORGIA DEPARTMENT OF",968217559,2 Peachtree St NW Fl 33,Atlanta,GA,30303-3142,Fulton County,17124972,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 9,Guam,"Guam, GU",Guam Delegate,Maternal and Child Health Services (B04),B04MC33832,DEPARTMENT OF PUBLIC HEALTH &  SOCIAL SERVICES,855028700,123 Chalan Kareta,Mangilao,GU,96913-6304,Guam,760558,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 9,Hawaii,"Honolulu County, HI",Hawaii District 01,Maternal and Child Health Services (B04),B04MC33833,"HEALTH, HAWAII DEPARTMENT OF",136572513,1250 Punchbowl St Rm 216,Honolulu,HI,96813-2416,Honolulu County,2143571,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 5,Illinois,"Sangamon County, IL",Illinois District 13,Maternal and Child Health Services (B04),B04MC33835,"Public Health, Illinois Department Of",806660296,535 W Jefferson St Lbby,Springfield,IL,62702-5058,Sangamon County,21044287,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 3,Maryland,"Baltimore City, MD",Maryland District 07,Maternal and Child Health Services (B04),B04MC33844,"HEALTH, MARYLAND DEPARTMENT OF",143148679,201 W Preston St,Baltimore,MD,21201-2301,Baltimore City,11850506,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 1,Massachusetts,"Suffolk County, MA",Massachusetts District 08,Maternal and Child Health Services (B04),B04MC33845,"Public Health, Massachusetts Dept of",878298900,250 Washington St,Boston,MA,02108-4603,Suffolk County,10911466,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 5,Minnesota,"Ramsey County, MN",Minnesota District 04,Maternal and Child Health Services (B04),B04MC33847,DEPARTMENT OF HEALTH MINNESOTA,804887321,625 Robert St N,Saint Paul,MN,55155-2538,Ramsey County,9108261,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 3,Pennsylvania,"Dauphin County, PA",Pennsylvania District 10,Maternal and Child Health Services (B04),B04MC33863,"Health, Pennsylvania Department Of",614489839,625 Forster St,Harrisburg,PA,17120-0701,Dauphin County,23928946,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 2,Puerto Rico,"San Juan Municipio, PR",Puerto Rico Resident Commissioner,Maternal and Child Health Services (B04),B04MC33864,"Health, Department of",105817142,Old Psychtrc Hospital Bdlg,Santurce,PR,909,San Juan Municipio,15856806,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 6,Texas,"Travis County, TX",Texas District 10,Maternal and Child Health Services (B04),B04MC33869,"State Health Services, Texas Department of",807391511,1100 W 49th St,Austin,TX,78756-3101,Travis County,35146148,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 1,Vermont,"Washington County, VT",Vermont At Large,Maternal and Child Health Services (B04),B04MC33871,"Human Services, Vermont Agency Of",809376155,280 State Dr,Waterbury,VT,05671-9501,Washington County,1633060,3/8/2021,3/9/2021
2020,Maternal and Child Health,Region 2,U.S. Virgin Islands,"St. Thomas, VI",U.S. Virgin Islands Delegate,Maternal and Child Health Services (B04),B04MC33872,VIRGIN ISLANDS DEPT OF HEALTH GROUP,167269765,1303 Hospital Ground Ste 10,Charlotte Amalie,VI,00802-6722,St. Thomas,1493758,3/8/2021,3/9/2021
2020,Primary Health Care,Region 9,California,"Ventura County, CA",California District 26,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39774,COUNTY OF VENTURA,66691122,800 S Victoria Ave,Ventura,CA,93009-0001,Ventura County,100000,3/8/2021,3/9/2021
2020,Primary Health Care,Region 9,California,"Los Angeles County, CA",California District 44,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39778,"NORTHEAST COMMUNITY CLINIC, THE",785521951,200 E Anaheim St,Wilmington,CA,90744-4516,Los Angeles County,99774,3/8/2021,3/9/2021
2020,Primary Health Care,Region 7,Kansas,"Geary County, KS",Kansas District 01,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39787,Konza Prairie Community Health Center Inc,945359669,361 Grant Ave,Junction City,KS,66441-4201,Geary County,100000,3/8/2021,3/9/2021
2020,Primary Health Care,Region 6,Louisiana,"Ouachita Parish, LA",Louisiana District 05,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39788,Primary Health Services Center,74137915,2914 Betin Ave,Monroe,LA,71201-7258,Ouachita Parish,100000,3/8/2021,3/9/2021
2020,Primary Health Care,Region 7,Missouri,"Newton County, MO",Missouri District 07,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39790,Ozark Tri-County Health Care Consortium,38903550,475 Nelson Ave,Neosho,MO,64850-8825,Newton County,62581,3/8/2021,3/9/2021
2020,Primary Health Care,Region 2,New York,"Chautauqua County, NY",New York District 23,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39939,"Chautauqua Center, The",964292572,319 Central Ave Ste B,Dunkirk,NY,14048-2137,Chautauqua County,1000000,3/8/2021,3/9/2021
2020,Primary Health Care,Region 4,South Carolina,"Greenwood County, SC",South Carolina District 03,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39945,"CAROLINA HEALTH CENTERS, INC.",197322381,313 Main St,Greenwood,SC,29646-2757,Greenwood County,1000000,3/8/2021,3/9/2021
2020,Primary Health Care,Region 4,South Carolina,"Orangeburg County, SC",South Carolina District 06,Capital Assistance for Disaster Response and Recovery Efforts (C14),C14CS39947,"FAMILY HEALTH CENTERS, INC.",16894743,3310 Magnolia St,Orangeburg,SC,29115-1466,Orangeburg County,1000000,3/8/2021,3/9/2021
2020,Rural Health,Region 10,Washington,"Adams County, WA",Washington District 04,Rural Health Care Services Outreach Grant Program (D04),D04RH31628,Adams County Public Hospital District #2,10204584,903 S Adams St,Ritzville,WA,99169-2227,Adams County,199400,3/8/2021,3/9/2021
2020,Rural Health,Region 4,North Carolina,"Edgecombe County, NC",North Carolina District 01,Rural Health Network Development Program (D06),D06RH37503,"Heritage Hospital, Inc.",825734817,111 Hospital Dr,Tarboro,NC,27886-2011,Edgecombe County,249125,3/8/2021,3/9/2021
2020,Rural Health,Region 7,Iowa,"Jasper County, IA",Iowa District 02,Rural Health Network Development Program (D06),D06RH37512,MERCY MEDICAL CENTER - NEWTON,79765581,204 N 4th Ave E,Newton,IA,50208-3135,Jasper County,299454,3/8/2021,3/9/2021
2020,Rural Health,Region 1,New Hampshire,"Merrimack County, NH",New Hampshire District 02,Rural Health Care Services Outreach Grant Program (D04),D04RH31631,"Bi-State Primary Care Association, Inc.",939836698,525 Clinton St,Bow,NH,03304-4609,Merrimack County,199999,3/8/2021,3/9/2021
2020,Rural Health,Region 4,Kentucky,"McCracken County, KY",Kentucky District 01,Rural Health Network Development Program (D06),D06RH37519,PURCHASE DISTRICT HEALTH DEPARTMENT (INC),784080116,916 Kentucky Ave,Paducah,KY,42003-1955,McCracken County,300000,3/8/2021,3/9/2021
2020,Rural Health,Region 5,Michigan,"Wexford County, MI",Michigan District 04,Rural Health Care Services Outreach Grant Program (D04),D04RH31633,DISTRICT HEALTH DEPARTMENT # 10,876899212,521 Cobb St,Cadillac,MI,49601-2589,Wexford County,200000,3/8/2021,3/9/2021
2020,Rural Health,Region 8,South Dakota,"Yankton County, SD",South Dakota At Large,Rural Health Network Development Program (D06),D06RH37523,SACRED HEART HEALTH SERVICES,55221865,501 Summit St,Yankton,SD,57078-3855,Yankton County,300000,3/8/2021,3/9/2021
2020,Rural Health,Region 5,Wisconsin,"Shawano County, WI",Wisconsin District 08,Rural Health Network Development Program (D06),D06RH37528,"Thedacare Medical Center - Shawano, Inc.",74790999,100 County Road B,Shawano,WI,54166-7072,Shawano County,299597,3/8/2021,3/9/2021
2020,Rural Health,Region 4,Mississippi,"Lauderdale County, MS",Mississippi District 03,Rural Health Care Services Outreach Grant Program (D04),D04RH31635,"Greater Meridian Health Clinic, Inc",116736588,2701 Davis St,Meridian,MS,39301-5708,Lauderdale County,200000,3/8/2021,3/9/2021
2020,Rural Health,Region 5,Minnesota,"Lake County, MN",Minnesota District 08,Rural Health Network Development Program (D06),D06RH37535,"Wilderness Health, Inc.",79506180,325 11th Ave,Two Harbors,MN,55616-1300,Lake County,269215,3/8/2021,3/9/2021
2020,HIV/AIDS,Region 2,New Jersey,"Essex County, NJ",New Jersey District 10,AIDS Education and Training Centers Program (U1O),U1OHA28686,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",78795869,65 Bergen St Ste 1,Newark,NJ,07107-3001,Essex County,1700000,3/8/2021,3/9/2021
2020,Health Workforce,Region 5,Indiana,"Marion County, IN",Indiana District 07,Health Careers Opportunity Program (D18),D18HP32132,UNIVERSITY OF INDIANAPOLIS,72063316,1400 E Hanna Ave,Indianapolis,IN,46227-3630,Marion County,665227,3/8/2021,3/9/2021
2017,Health Workforce,Region 4,North Carolina,"Orange County, NC",North Carolina District 04,"Nurse Education, Practice, Quality, and Retention - Interprofessional Collborative Practice (UD7)",UD7HP29869,"PIEDMONT HEALTH SERVICES, INC.",75568170,127 Kingston Dr Ste 105,Chapel Hill,NC,27514-1650,Orange County,531184,2/12/2018,2/13/2018
2020,Rural Health,Region 10,Oregon,"Lane County, OR",Oregon District 04,Rural Health Care Services Outreach Grant Program (D04),D04RH31643,PEACEHEALTH,603346255,400 9th St,Florence,OR,97439-7398,Lane County,199943,3/8/2021,3/9/2021
2019,Health Workforce,Region 4,North Carolina,"Forsyth County, NC",North Carolina District 05,Nurse Anesthetist Traineeships (A22),A22HP30966,Wake Forest University Health Sciences,937727907,Medical Center Blvd,Winston Salem,NC,27157-7157,Forsyth County,20301,10/22/2019,10/23/2019
2020,Health Workforce,Region 4,South Carolina,"Florence County, SC",South Carolina District 07,Nursing Workforce Diversity (D19),D19HP30845,FRANCIS MARION UNIVERSITY,78052131,4822 E Palmetto St,Florence,SC,29506-4530,Florence County,461100,3/8/2021,3/9/2021
2020,Rural Health,Region 6,New Mexico,"McKinley County, NM",New Mexico District 03,Rural Health Care Services Outreach Grant Program (D04),D04RH31645,"Rehoboth Mckinley Christian Health Care Services, Inc.",69425916,1901 Red Rock Dr,Gallup,NM,87301-5683,McKinley County,200000,3/8/2021,3/9/2021
2020,Health Workforce,Region 5,Wisconsin,"Milwaukee County, WI",Wisconsin District 04,Nursing Workforce Diversity (D19),D19HP30849,MARQUETTE UNIVERSITY,46929621,915 W Wisconsin Ave Rm 175,Milwaukee,WI,53233-2310,Milwaukee County,455810,3/8/2021,3/9/2021
2019,Rural Health,Region 5,Illinois,"Lee County, IL",Illinois District 16,Rural Communities Opioid Response-Implementation (GA1),GA1RH33515,Katherine Shaw Bethea Hospital,64012008,403 E 1st St,Dixon,IL,61021-3116,Lee County,1000000,10/22/2019,10/23/2019
2019,Rural Health,Region 4,Kentucky,"Whitley County, KY",Kentucky District 05,Rural Communities Opioid Response-Implementation (GA1),GA1RH33516,"Kentucky Rural Health Information Technology Network, Inc.",79084069,1019 Cumberland Falls Hwy Ste B202,Corbin,KY,40701-2793,Whitley County,1000000,10/22/2019,10/23/2019
2018,Rural Health,Region 8,South Dakota,"Hughes County, SD",South Dakota At Large,State Offices of Rural Health (H95),H95RH00127,South Dakota Department of Health,809587710,600 E Capitol Ave,Pierre,SD,57501-2536,Hughes County,179270,11/29/2018,11/30/2018
2019,Health Workforce,Region 1,Massachusetts,"Worcester County, MA",Massachusetts District 03,Health Careers Opportunity Program (D18),D18HP32124,Mount Wachusett Community College,848394763,444 Green St,Gardner,MA,01440-1378,Worcester County,645100,10/22/2019,10/23/2019
2019,Health Workforce,Region 5,Indiana,"Tippecanoe County, IN",Indiana District 04,Health Careers Opportunity Program (D18),D18HP32125,PURDUE UNIVERSITY,72051394,401 S Grant St,West Lafayette,IN,47907-2024,Tippecanoe County,644701,10/22/2019,10/23/2019
2019,Health Workforce,Region 2,New York,"Kings County, NY",New York District 09,Health Careers Opportunity Program (D18),D18HP32126,"Research Foundation For The State University Of New York, The",40796328,450 Clarkson Ave,Brooklyn,NY,11203-2012,Kings County,640358,10/22/2019,10/23/2019
2019,Rural Health,Region 1,Maine,"Kennebec County, ME",Maine District 01,Rural Communities Opioid Response-Implementation (GA1),GA1RH33518,Mainegeneral Medical Center,77461754,35 Medical Center Pkwy,Augusta,ME,04330-8160,Kennebec County,1000000,10/22/2019,10/23/2019
